Code BBUSD1M BBUSD2M BBUSD3M BBUSD4M BBUSD5M BBUSD6M BBUSD7M BBUSD8M BBUSD9M BBUSD10 BBUSD11 BBUSD12
Currency U$ U$ U$ U$ U$ U$ U$ U$ U$ U$ U$ U$
28-04-95 6.06250 6.12500 6.18750 6.25000 6.31250 6.37500 6.42969 6.48438 6.50000 6.53906 6.56250 6.62500
31-05-95 6.06250 6.06250 6.06250 6.06250 6.06250 6.00000 6.00000 6.00000 6.00000 6.00000 6.00000 6.00000
30-06-95 6.12500 6.06250 6.05859 6.00000 5.99609 5.99609 5.99219 5.98828 5.98438 5.98438 5.98438 5.98438
31-07-95 5.87500 5.87500 5.87500 5.87500 5.87500 5.87500 5.87500 5.87500 5.87500 5.87500 5.92188 5.93750
31-08-95 5.87500 5.87500 5.88281 5.90625 5.90625 5.90625 5.90625 5.91016 5.91406 5.92969 5.93750 5.93750
29-09-95 5.87500 5.87891 5.95313 5.94141 5.94141 5.94531 5.94531 5.94531 5.95703 5.98438 5.98438 6.00000
31-10-95 5.83203 5.94141 5.93750 5.87500 5.87500 5.87500 5.87500 5.86719 5.81250 5.81250 5.81250 5.81250
30-11-95 5.97656 5.91016 5.87500 5.81250 5.75000 5.68750 5.68750 5.64453 5.62500 5.62500 5.62500 5.62500
29-12-95 5.68750 5.62500 5.62500 5.57031 5.55078 5.50781 5.50000 5.48438 5.43750 5.42969 5.42578 5.42578
31-01-96 5.43750 5.39844 5.37500 5.33594 5.31250 5.26563 5.25000 5.20703 5.18750 5.18359 5.14063 5.12500
29-02-96 5.31250 5.31250 5.30469 5.29688 5.29688 5.29688 5.30078 5.30469 5.31250 5.31250 5.31250 5.31250
29-03-96 5.43750 5.43750 5.47266 5.47266 5.48047 5.50000 5.56250 5.56250 5.62500 5.67578 5.68750 5.72266
30-04-96 5.43750 5.46875 5.48438 5.50000 5.51172 5.56250 5.58984 5.64453 5.68750 5.71484 5.75391 5.81250
31-05-96 5.43750 5.46484 5.50000 5.56250 5.58984 5.63281 5.69531 5.75000 5.81250 5.87500 5.93750 6.00000
28-06-96 5.49609 5.51953 5.58203 5.64453 5.69922 5.78906 5.81641 5.87500 5.93750 6.00000 6.06250 6.12500
31-07-96 5.46484 5.58594 5.67578 5.72656 5.81250 5.88281 5.93750 6.00000 6.03516 6.09766 6.15625 6.21875
30-08-96 5.43750 5.50000 5.56250 5.68359 5.71484 5.77344 5.82813 5.87500 5.93750 6.00000 6.05859 6.09766
30-09-96 5.43359 5.49609 5.62500 5.65625 5.68750 5.73438 5.75000 5.81250 5.84766 5.89453 5.94531 5.98828
31-10-96 5.37500 5.50000 5.50000 5.53125 5.54297 5.56641 5.60156 5.62891 5.66046 5.68750 5.72266 5.75000
29-11-96 5.56250 5.50000 5.50000 5.50000 5.53125 5.54297 5.56250 5.58984 5.59766 5.62500 5.65625 5.68750
31-12-96 5.50000 5.52734 5.56250 5.56250 5.56250 5.60156 5.62500 5.66406 5.68750 5.73047 5.75000 5.78906
31-01-97 5.43750 5.50000 5.56250 5.60156 5.62891 5.68750 5.73047 5.75000 5.78906 5.81641 5.87891 5.93750
28-02-97 5.43750 5.47656 5.53906 5.57813 5.62500 5.68750 5.75000 5.78125 5.81250 5.87500 5.93750 5.96875
31-03-97 5.68750 5.72266 5.77344 5.82031 5.87891 5.93750 6.00000 6.05469 6.12500 6.18750 6.21875 6.27344
30-04-97 5.68750 5.75000 5.81641 5.87500 5.93750 6.00000 6.05859 6.12109 6.15625 6.19922 6.25781 6.31250
30-05-97 5.68750 5.75000 5.81250 5.87500 5.93750 6.00000 6.05078 6.09375 6.12500 6.18750 6.21875 6.25781
30-06-97 5.68750 5.71875 5.78125 5.81250 5.84375 5.90625 5.93750 5.96875 6.00000 6.03516 6.06250 6.12500
31-07-97 5.62500 5.65625 5.70703 5.73828 5.78125 5.80078 5.81250 5.83984 5.84375 5.87500 5.90625 5.93750
29-08-97 5.65625 5.68750 5.71875 5.78125 5.81250 5.84375 5.87500 5.90625 5.93750 5.96875 6.00000 6.03125
30-09-97 5.65625 5.68750 5.76953 5.78125 5.81250 5.84375 5.85547 5.87500 5.90625 5.93750 5.96875 6.00000
31-10-97 5.64844 5.75000 5.75000 5.75000 5.78125 5.78516 5.81250 5.82813 5.84375 5.86328 5.89453 5.91797
28-11-97 5.96875 5.90234 5.90234 5.90625 5.91016 5.91406 5.93750 5.94141 5.95313 5.96875 5.98047 6.01172
31-12-97 5.71875 5.75391 5.81250 5.81250 5.81250 5.84375 5.85547 5.87500 5.90625 5.91797 5.93750 5.96875
30-01-98 5.59766 5.61328 5.62500 5.62500 5.62500 5.62500 5.62500 5.62500 5.62500 5.62891 5.64063 5.65625
27-02-98 5.68750 5.66797 5.67969 5.68750 5.68750 5.69531 5.71875 5.71875 5.74609 5.75781 5.78125 5.79297
31-03-98 5.68750 5.68750 5.71094 5.71875 5.73438 5.75000 5.76953 5.78906 5.81641 5.84375 5.87109 5.89063
30-04-98 5.65625 5.68750 5.71875 5.75000 5.78125 5.81250 5.84375 5.87109 5.87891 5.92188 5.93750 5.99219
29-05-98 5.65625 5.68750 5.68750 5.71875 5.75000 5.75000 5.78125 5.78516 5.81250 5.83984 5.84375 5.87500
30-06-98 5.66016 5.68750 5.71875 5.71875 5.75000 5.78125 5.78125 5.78125 5.81250 5.81250 5.82031 5.84375
31-07-98 5.65625 5.68750 5.68750 5.71875 5.74609 5.75000 5.75000 5.77344 5.78125 5.78516 5.81250 5.82422
31-08-98 5.64453 5.64453 5.62500 5.62500 5.59375 5.59375 5.58984 5.56250 5.56250 5.53906 5.53125 5.53125
30-09-98 5.37500 5.34375 5.31250 5.28125 5.25000 5.24609 5.19922 5.17969 5.12500 5.09766 5.08594 5.06250
30-10-98 5.23875 5.28579 5.21953 5.11813 5.04625 4.97859 4.93719 4.88688 4.84516 4.80875 4.78203 4.75125
30-11-98 5.62063 5.37313 5.28266 5.24219 5.17703 5.14766 5.13125 5.12688 5.12563 5.12563 5.12563 5.12563
31-12-98 5.06406 5.06563 5.06563 5.06563 5.06563 5.06563 5.06688 5.06688 5.06813 5.07688 5.07938 5.09844
29-01-99 4.93906 4.96578 4.96953 4.96953 4.96969 4.97094 4.97359 4.97734 4.99875 5.00250 5.05281 5.05813
